trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
307,False,"{'a': 1, 'e': 0.3361220349964831}",35,17,-38.41816906663358,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
308,False,"{'a': 1, 'e': 0.33235208230205926}",25,1,24.86602428063666,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 1, 'e': 0.3285768119814088}",25,13,-18.29115218783457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
310,False,"{'a': 1, 'e': 0.32479628443877623}",20,7,-31.404142440131547,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
311,False,"{'a': 1, 'e': 0.32101056016252166}",25,5,12.102771667003244,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
312,False,"{'a': 1, 'e': 0.3172196997241527}",35,17,-48.140867177670486,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
313,False,"{'a': 1, 'e': 0.3134237637773555}",25,1,23.64088592123717,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 1, 'e': 0.3096228130570242}",25,7,3.66771896124665,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 1, 'e': 0.30581690837828934}",20,5,12.641510617886,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 1, 'e': 0.30200611063554444}",20,12,-24.785119335244357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
317,False,"{'a': 1, 'e': 0.2981904808014722}",20,8,12.847213412475112,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 1, 'e': 0.29437007992606856}",25,9,16.705435402687474,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 1, 'e': 0.29054496913566596}",20,0,7.920715681168365,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
320,False,"{'a': 1, 'e': 0.2867152096319555}",20,13,16.328987206940347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 1, 'e': 0.2828808626910075}",20,12,16.24123170707348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 1, 'e': 0.2790419896622912}",25,5,33.19269300285394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 1, 'e': 0.2751986519676933}",30,18,21.4055415210812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 1, 'e': 0.2713509111005347}",20,4,-2.0297515491207863,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
325,False,"{'a': 1, 'e': 0.26749882862458735}",30,0,-22.58286773493907,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",1
326,False,"{'a': 1, 'e': 0.2636424661730887}",30,24,8.602518273490286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 1, 'e': 0.25978188544775555}",20,0,-25.984507378212495,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
328,False,"{'a': 1, 'e': 0.2559171482177973}",25,0,-71.75044935322221,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
329,False,"{'a': 1, 'e': 0.25204831631892716}",25,6,13.961016889813488,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 1, 'e': 0.2481754516523729}",25,17,14.774010540256887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 1, 'e': 0.24429861618388662}",20,14,12.184458450133295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 1, 'e': 0.2404178719427531}",20,9,-5.061245316192792,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
333,False,"{'a': 1, 'e': 0.2365332810207974}",25,1,26.69560217453619,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 1, 'e': 0.23264490557139142}",20,3,22.35569166548153,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 1, 'e': 0.22875280780845939}",30,16,20.601780171366126,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 1, 'e': 0.22485705000548248}",25,18,12.30192706665382,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 1, 'e': 0.22095769449450242}",20,0,10.657646674298517,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
338,False,"{'a': 1, 'e': 0.2170548036651242}",20,3,-24.938631330310567,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
339,False,"{'a': 1, 'e': 0.21314843996351787}",30,8,13.385156023518764,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
340,False,"{'a': 1, 'e': 0.20923866589141926}",30,18,24.915241313181216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 1, 'e': 0.20532554400513015}",35,19,9.833579499041305,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 1, 'e': 0.20140913691451726}",20,10,-20.54194421195632,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
343,False,"{'a': 1, 'e': 0.19748950728201042}",20,10,20.838131423742624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 1, 'e': 0.1935667178216002}",20,12,-26.184745107970976,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
345,False,"{'a': 1, 'e': 0.18964083129783424}",25,15,18.689558776532326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 1, 'e': 0.1857119105248132}",20,14,10.501800133067828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 1, 'e': 0.18178001836518562}",25,4,-36.69631178955131,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
348,False,"{'a': 1, 'e': 0.17784521772914216}",25,13,-47.64174557951536,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
349,False,"{'a': 1, 'e': 0.17390757157340905}",20,14,11.518908099820894,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 1, 'e': 0.16996714290024081}",25,14,20.470406157783508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 1, 'e': 0.1660239947564121}",35,17,34.50955158204781,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 1, 'e': 0.1620781902322094}",25,11,10.700266783873703,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
353,False,"{'a': 1, 'e': 0.1581297924604204}",20,0,29.02501589222502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 1, 'e': 0.15417886461532546}",25,16,14.347387371642673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 1, 'e': 0.15022546991168584}",25,7,30.88222692751027,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 1, 'e': 0.14626967160373244}",20,0,28.946166659916905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
357,False,"{'a': 1, 'e': 0.1423115329841538}",25,11,12.72572120527001,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
358,False,"{'a': 1, 'e': 0.13835111738308337}",25,11,23.775917642364117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 1, 'e': 0.13438848816708632}",30,7,-2.461004312216662,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
360,False,"{'a': 1, 'e': 0.13042370873814554}",20,4,16.45523567529715,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 1, 'e': 0.12645684253264733}",20,0,27.19008959641245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 1, 'e': 0.12248795302036633}",20,6,23.404665945440165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 1, 'e': 0.11851710370345009}",20,8,6.8435584457376795,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
364,False,"{'a': 1, 'e': 0.11454435811540296}",25,10,27.49923188577114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 1, 'e': 0.11056977982006959}",20,0,9.273635833169278,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
366,False,"{'a': 1, 'e': 0.10659343241061792}",25,10,6.0940440573989845,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
367,False,"{'a': 1, 'e': 0.10261537950852166}",30,16,27.24785095507773,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 1, 'e': 0.0986356847625424}",20,12,0.898952900451145,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 1, 'e': 0.09465441184771117}",20,6,24.874883896109793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 1, 'e': 0.09067162446430968}",25,0,38.59785815466144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 1, 'e': 0.08668738633685107}",20,13,12.933586047489307,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 1, 'e': 0.0827017612130604}",20,12,15.977548897472005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 1, 'e': 0.07871481286285463}",20,13,12.010282470608262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 1, 'e': 0.0747266050773223}",20,11,17.824283263024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 1, 'e': 0.0707372016677029}",25,2,36.750157765395095,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 1, 'e': 0.06674666646436589}",20,0,20.179989759909176,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
377,False,"{'a': 1, 'e': 0.06275506331578937}",20,8,21.349057780209655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 1, 'e': 0.058762456087538564}",20,0,-27.251870654474885,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
379,False,"{'a': 1, 'e': 0.05476890866124396}",25,10,23.134026086506793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 1, 'e': 0.05077448493357918}",20,6,2.4644826259916233,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
